timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1443559582858,6506,simple DB,200,OK,Azure A1 2-204,text,true,274,150,150,http://azua1.test.itcrowd/db,6506
1443559589110,260,Hello json,502,Bad Gateway,Azure A1 2-269,text,false,346,150,150,http://azua1.test.itcrowd/json,260
1443559589260,130,Multiple DB update 5,502,Bad Gateway,Azure A1 2-105,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=5,130
1443559589261,132,Multiple DB 50,502,Bad Gateway,Azure A1 2-198,text,false,346,149,149,http://azua1.test.itcrowd/db?queries=50,131
1443559589271,130,simple DB,502,Bad Gateway,Azure A1 2-268,text,false,346,149,149,http://azua1.test.itcrowd/db,130
1443559589279,132,Multiple DB 5,502,Bad Gateway,Azure A1 2-202,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,132
1443559589292,131,Multiple DB 500,502,Bad Gateway,Azure A1 2-113,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=500,131
1443559589293,132,Multiple DB 500,502,Bad Gateway,Azure A1 2-264,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=500,132
1443559589304,129,Multiple DB 5,502,Bad Gateway,Azure A1 2-267,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,129
1443559581992,7462,Multiple DB 500,200,OK,Azure A1 2-81,text,true,16174,150,150,http://azua1.test.itcrowd/db?queries=500,7331
1443559589325,132,Multiple DB 500,502,Bad Gateway,Azure A1 2-150,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=500,132
1443559583109,6349,Multiple DB 5,200,OK,Azure A1 2-205,text,true,402,150,150,http://azua1.test.itcrowd/db?queries=5,6349
1443559589328,131,Multiple DB update 5,502,Bad Gateway,Azure A1 2-107,text,false,346,150,150,http://azua1.test.itcrowd/updates?queries=5,131
1443559589329,132,Multiple DB update 500,502,Bad Gateway,Azure A1 2-196,text,false,346,149,149,http://azua1.test.itcrowd/updates?queries=500,132
1443559589356,132,Multiple DB 50,502,Bad Gateway,Azure A1 2-266,text,false,346,149,149,http://azua1.test.itcrowd/db?queries=50,132
1443559589366,129,Multiple DB 5,502,Bad Gateway,Azure A1 2-204,text,false,346,149,149,http://azua1.test.itcrowd/db?queries=5,129
1443559589371,132,simple DB,502,Bad Gateway,Azure A1 2-269,text,false,346,149,149,http://azua1.test.itcrowd/db,131
1443559589408,131,Multiple DB 5,502,Bad Gateway,Azure A1 2-268,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=5,131
1443559589408,132,Multiple DB 500,502,Bad Gateway,Azure A1 2-198,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=500,132
1443559589419,135,Multiple DB 50,502,Bad Gateway,Azure A1 2-202,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,135
1443559589424,130,Fortunes,502,Bad Gateway,Azure A1 2-113,text,false,346,150,150,http://azua1.test.itcrowd/fortunes,130
1443559589426,132,Fortunes,502,Bad Gateway,Azure A1 2-264,text,false,346,150,150,http://azua1.test.itcrowd/fortunes,132
1443559589435,133,Multiple DB 50,502,Bad Gateway,Azure A1 2-267,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,133
1443559589312,271,Hello json,502,Bad Gateway,Azure A1 2-271,text,false,346,150,150,http://azua1.test.itcrowd/json,271
1443559589456,131,Fortunes,502,Bad Gateway,Azure A1 2-81,text,false,346,150,150,http://azua1.test.itcrowd/fortunes,131
1443559589460,129,Multiple DB 50,502,Bad Gateway,Azure A1 2-205,text,false,346,150,150,http://azua1.test.itcrowd/db?queries=50,129
1443559589459,132,Fortunes,502,Bad Gateway,Azure A1 2-150,text,false,346,150,150,http://azua1.test.itcrowd/fortunes,132
1443559589482,132,Multiple DB update 50,502,Bad Gateway,Azure A1 2-196,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=50,132
1443559589489,133,Multiple DB 500,502,Bad Gateway,Azure A1 2-266,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=500,133
1443559589496,129,Multiple DB 50,502,Bad Gateway,Azure A1 2-204,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=50,129
1443559589504,129,Multiple DB 5,502,Bad Gateway,Azure A1 2-269,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=5,129
1443559589411,260,Hello json,502,Bad Gateway,Azure A1 2-272,text,false,346,151,151,http://azua1.test.itcrowd/json,260
1443559589540,131,Multiple DB 50,502,Bad Gateway,Azure A1 2-268,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=50,131
1443559589541,131,Fortunes,502,Bad Gateway,Azure A1 2-198,text,false,346,151,151,http://azua1.test.itcrowd/fortunes,131
1443559589555,130,Multiple DB 500,502,Bad Gateway,Azure A1 2-202,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=500,130
1443559589555,130,Multiple DB update 500,502,Bad Gateway,Azure A1 2-113,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=500,130
1443559589560,132,Multiple DB update 500,502,Bad Gateway,Azure A1 2-264,text,false,346,151,151,http://azua1.test.itcrowd/updates?queries=500,132
1443559589569,130,Multiple DB 500,502,Bad Gateway,Azure A1 2-267,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=500,130
1443559589585,134,simple DB,502,Bad Gateway,Azure A1 2-271,text,false,346,152,152,http://azua1.test.itcrowd/db,134
1443559589588,131,Multiple DB update 500,502,Bad Gateway,Azure A1 2-81,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=500,131
1443559589591,128,Multiple DB 500,502,Bad Gateway,Azure A1 2-205,text,false,346,152,152,http://azua1.test.itcrowd/db?queries=500,128
1443559589592,132,Multiple DB update 500,502,Bad Gateway,Azure A1 2-150,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=500,132
1443559589626,136,Multiple DB update 5,502,Bad Gateway,Azure A1 2-196,text,false,346,152,152,http://azua1.test.itcrowd/updates?queries=5,136
1443559589627,135,Multiple DB 500,502,Bad Gateway,Azure A1 2-204,text,false,346,152,152,http://azua1.test.itcrowd/db?queries=500,135
1443559589626,136,Fortunes,502,Bad Gateway,Azure A1 2-266,text,false,346,152,152,http://azua1.test.itcrowd/fortunes,136
1443559589634,129,Multiple DB 50,502,Bad Gateway,Azure A1 2-269,text,false,346,152,152,http://azua1.test.itcrowd/db?queries=50,129
1443559589510,263,Hello json,502,Bad Gateway,Azure A1 2-273,text,false,346,151,151,http://azua1.test.itcrowd/json,263
1443559589673,129,Multiple DB 500,502,Bad Gateway,Azure A1 2-268,text,false,346,151,151,http://azua1.test.itcrowd/db?queries=500,129
1443559589673,129,simple DB,502,Bad Gateway,Azure A1 2-272,text,false,346,151,151,http://azua1.test.itcrowd/db,129
