timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1443562812778,1790,Multiple DB 500,200,OK,Azure A2 1-13,text,true,16153,60,60,1662
1443562812686,1929,Multiple DB 500,200,OK,Azure A2 1-12,text,true,16158,61,61,1662
1443562812788,1882,Hello json,200,OK,Azure A2 1-43,text,true,270,61,61,1882
1443562812882,1803,Multiple DB 50,200,OK,Azure A2 1-28,text,true,1837,61,61,1674
1443562812995,1841,simple DB,200,OK,Azure A2 1-39,text,true,272,63,63,1841
1443562812856,2025,Multiple DB 500,200,OK,Azure A2 1-11,text,true,16133,63,63,1768
1443562812890,2003,Hello json,200,OK,Azure A2 1-44,text,true,270,63,63,2003
1443562812858,2100,Multiple DB 500,200,OK,Azure A2 1-14,text,true,16127,64,64,1836
1443562812989,2010,Hello json,200,OK,Azure A2 1-45,text,true,270,64,64,2010
1443562812858,2165,Multiple DB 500,200,OK,Azure A2 1-18,text,true,16142,65,65,1901
1443562813090,1941,Hello json,200,OK,Azure A2 1-46,text,true,270,65,65,1941
1443562813197,1853,Hello json,200,OK,Azure A2 1-47,text,true,270,65,65,1853
1443562812881,2205,Multiple DB 500,200,OK,Azure A2 1-16,text,true,16137,65,65,2075
1443562813415,1684,Multiple DB 5,200,OK,Azure A2 1-35,text,true,402,65,65,1684
1443562813293,1844,Hello json,200,OK,Azure A2 1-48,text,true,270,66,66,1844
1443562813393,1749,Hello json,200,OK,Azure A2 1-49,text,true,270,66,66,1749
1443562813533,1656,Multiple DB 5,200,OK,Azure A2 1-36,text,true,404,66,66,1656
1443562813578,1647,simple DB,200,OK,Azure A2 1-40,text,true,274,67,67,1647
1443562813323,1903,Multiple DB 50,200,OK,Azure A2 1-29,text,true,1839,67,67,1772
1443562812911,2379,Multiple DB 500,200,OK,Azure A2 1-19,text,true,16142,67,67,2112
1443562813491,1803,Multiple DB 50,200,OK,Azure A2 1-30,text,true,1835,67,67,1675
1443562812962,2388,Multiple DB 500,200,OK,Azure A2 1-17,text,true,16132,68,68,2125
1443562812963,2406,Multiple DB 500,200,OK,Azure A2 1-20,text,true,16140,68,68,2142
1443562813493,1923,Hello json,200,OK,Azure A2 1-50,text,true,270,69,69,1923
1443562813594,1860,Hello json,200,OK,Azure A2 1-51,text,true,270,69,69,1860
1443562813695,1792,Hello json,200,OK,Azure A2 1-52,text,true,270,69,69,1792
1443562813794,1720,Hello json,200,OK,Azure A2 1-53,text,true,270,69,69,1720
1443562814010,1545,simple DB,200,OK,Azure A2 1-41,text,true,274,70,70,1545
1443562813553,1903,Fortunes,200,OK,Azure A2 1-1,text,true,2491,70,70,1774
1443562813899,1675,Hello json,200,OK,Azure A2 1-54,text,true,270,70,70,1675
1443562813512,1946,Fortunes,200,OK,Azure A2 1-3,text,true,2491,70,70,1814
1443562813623,1956,Multiple DB 50,200,OK,Azure A2 1-32,text,true,1837,70,70,1824
1443562813532,1920,Fortunes,200,OK,Azure A2 1-4,text,true,2491,70,70,1791
1443562813731,1893,Fortunes,200,OK,Azure A2 1-6,text,true,2491,71,71,1764
1443562813734,1893,Fortunes,200,OK,Azure A2 1-2,text,true,2491,71,71,1764
1443562813069,2585,Multiple DB 500,200,OK,Azure A2 1-22,text,true,16139,71,71,2317
1443562813997,1688,Hello json,200,OK,Azure A2 1-55,text,true,270,71,71,1688
1443562814010,1679,Fortunes,200,OK,Azure A2 1-9,text,true,2491,71,71,1552
1443562813978,1761,Multiple DB 50,200,OK,Azure A2 1-31,text,true,1835,72,72,1630
1443562814036,1708,Fortunes,200,OK,Azure A2 1-7,text,true,2491,72,72,1578
1443562814097,1673,Hello json,200,OK,Azure A2 1-56,text,true,270,72,72,1673
1443562814209,1563,Multiple DB 5,200,OK,Azure A2 1-37,text,true,403,72,72,1563
1443562814197,1616,Hello json,200,OK,Azure A2 1-57,text,true,270,72,72,1616
1443562814232,1603,Multiple DB 5,200,OK,Azure A2 1-38,text,true,404,73,73,1603
1443562814036,1806,Multiple DB 50,200,OK,Azure A2 1-33,text,true,1833,73,73,1676
1443562814279,1574,simple DB,200,OK,Azure A2 1-42,text,true,274,73,73,1574
1443562814297,1575,Hello json,200,OK,Azure A2 1-58,text,true,270,73,73,1575
1443562814072,1793,Fortunes,200,OK,Azure A2 1-5,text,true,2491,73,73,1663
1443562814207,1684,Fortunes,200,OK,Azure A2 1-8,text,true,2491,73,73,1555
1443562813578,2320,Multiple DB 500,200,OK,Azure A2 1-21,text,true,16132,73,73,2053
1443562814423,1492,Hello json,200,OK,Azure A2 1-59,text,true,270,73,73,1492
1443562814428,1587,Fortunes,200,OK,Azure A2 1-10,text,true,2491,74,74,1455
1443562813707,2320,Multiple DB 500,200,OK,Azure A2 1-23,text,true,16148,74,74,2059
1443562814489,1593,Multiple DB 50,200,OK,Azure A2 1-34,text,true,1837,75,75,1464
1443562814606,1569,Fortunes,200,OK,Azure A2 1-15,text,true,2491,76,76,1419
1443562814034,2143,Multiple DB 500,200,OK,Azure A2 1-24,text,true,16124,76,76,1988
1443562814506,1671,Hello json,200,OK,Azure A2 1-60,text,true,270,76,76,1671
1443562814715,1506,simple DB,200,OK,Azure A2 1-43,text,true,274,76,76,1506
1443562814598,1669,Hello json,200,OK,Azure A2 1-61,text,true,270,77,77,1669
1443562814708,1560,Hello json,200,OK,Azure A2 1-62,text,true,270,77,77,1560
1443562814861,1432,Multiple DB 5,200,OK,Azure A2 1-39,text,true,404,77,77,1432
1443562814638,1670,Fortunes,200,OK,Azure A2 1-12,text,true,2491,77,77,1539
1443562814610,1696,Fortunes,200,OK,Azure A2 1-13,text,true,2491,77,77,1564
1443562814925,1417,simple DB,200,OK,Azure A2 1-44,text,true,274,78,78,1417
1443562814808,1554,Hello json,200,OK,Azure A2 1-63,text,true,270,78,78,1554
1443562814908,1526,Hello json,200,OK,Azure A2 1-64,text,true,270,78,78,1526
1443562815053,1393,simple DB,200,OK,Azure A2 1-45,text,true,273,79,79,1393
1443562814457,2011,Multiple DB 500,200,OK,Azure A2 1-26,text,true,16143,79,79,1881
1443562814924,1548,Fortunes,200,OK,Azure A2 1-11,text,true,2491,79,79,1420
1443562815075,1411,simple DB,200,OK,Azure A2 1-47,text,true,274,79,79,1411
1443562814305,2184,Multiple DB 500,200,OK,Azure A2 1-25,text,true,16130,79,79,1919
1443562815074,1438,simple DB,200,OK,Azure A2 1-46,text,true,274,79,79,1438
1443562814982,1583,Fortunes,200,OK,Azure A2 1-14,text,true,2491,80,80,1452
1443562815182,1382,simple DB,200,OK,Azure A2 1-48,text,true,274,80,80,1382
1443562815009,1533,Hello json,200,OK,Azure A2 1-65,text,true,270,79,79,1533
1443562815182,1408,simple DB,200,OK,Azure A2 1-49,text,true,274,80,80,1408
1443562815074,1518,Fortunes,200,OK,Azure A2 1-18,text,true,2491,80,80,1389
1443562815110,1506,Hello json,200,OK,Azure A2 1-66,text,true,270,80,80,1506
1443562815136,1563,Multiple DB 50,200,OK,Azure A2 1-35,text,true,1835,81,81,1429
1443562815273,1426,Multiple DB 5,200,OK,Azure A2 1-40,text,true,402,81,81,1426
1443562815135,1564,Fortunes,200,OK,Azure A2 1-16,text,true,2491,81,81,1423
1443562815212,1488,Hello json,200,OK,Azure A2 1-67,text,true,270,81,81,1488
1443562814558,2146,Multiple DB 500,200,OK,Azure A2 1-27,text,true,16140,81,81,1886
1443562815394,1307,Fortunes,200,OK,Azure A2 1-17,text,true,2491,81,81,1305
1443562815312,1422,Hello json,200,OK,Azure A2 1-68,text,true,270,81,81,1422
1443562815213,1522,Multiple DB 50,200,OK,Azure A2 1-36,text,true,1832,81,81,1391
1443562815339,1418,Fortunes,200,OK,Azure A2 1-19,text,true,2491,82,82,1288
1443562815439,1325,simple DB,200,OK,Azure A2 1-50,text,true,274,82,82,1325
1443562815485,1280,simple DB,200,OK,Azure A2 1-51,text,true,274,82,82,1280
1443562815542,1270,simple DB,200,OK,Azure A2 1-53,text,true,274,82,82,1270
1443562815541,1274,simple DB,200,OK,Azure A2 1-52,text,true,274,82,82,1274
1443562815418,1403,Hello json,200,OK,Azure A2 1-69,text,true,270,82,82,1403
1443562814717,2139,Multiple DB 500,200,OK,Azure A2 1-28,text,true,16136,83,83,1876
1443562815614,1258,simple DB,200,OK,Azure A2 1-54,text,true,274,83,83,1258
1443562815612,1264,Multiple DB 5,200,OK,Azure A2 1-41,text,true,402,83,83,1264
1443562815395,1567,Fortunes,200,OK,Azure A2 1-20,text,true,2491,84,84,1382
1443562815521,1589,Hello json,200,OK,Azure A2 1-70,text,true,270,85,85,1589
1443562815273,2011,Multiple DB 500,200,OK,Azure A2 1-29,text,true,16131,87,87,1767
1443562815340,2073,Multiple DB 500,200,OK,Azure A2 1-30,text,true,16126,88,88,1705
1443562815614,1989,Multiple DB update 500,500,Internal Server Error,Azure A2 1-1,text,false,848,90,90,1989
1443562815615,1988,Multiple DB update 500,500,Internal Server Error,Azure A2 1-4,text,false,848,90,90,1988
1443562815734,1931,simple DB,200,OK,Azure A2 1-55,text,true,274,90,90,1931
1443562815619,2048,Hello json,200,OK,Azure A2 1-71,text,true,270,90,90,2048
1443562815614,2121,Multiple DB 500,200,OK,Azure A2 1-32,text,true,16165,91,91,1771
1443562815712,2023,Fortunes,200,OK,Azure A2 1-22,text,true,2491,91,91,1895
1443562815614,2151,Multiple DB update 500,200,OK,Azure A2 1-3,text,true,16134,91,91,2016
1443562815808,2134,simple DB,200,OK,Azure A2 1-56,text,true,274,93,93,2134
1443562815688,2318,Multiple DB update 500,200,OK,Azure A2 1-2,text,true,16152,94,94,2187
1443562815727,2403,Hello json,200,OK,Azure A2 1-72,text,true,270,95,95,2403
1443562815865,2305,simple DB,200,OK,Azure A2 1-57,text,true,274,95,95,2305
1443562815808,2453,Multiple DB 50,200,OK,Azure A2 1-37,text,true,1836,96,96,2322
1443562815916,2346,Multiple DB 5,200,OK,Azure A2 1-42,text,true,403,96,96,2346
1443562815937,2377,simple DB,200,OK,Azure A2 1-58,text,true,274,97,97,2377
1443562815786,2533,Multiple DB 500,200,OK,Azure A2 1-31,text,true,16136,97,97,2401
1443562815893,2514,Multiple DB 50,200,OK,Azure A2 1-38,text,true,1820,98,98,2385
1443562815940,2522,simple DB,200,OK,Azure A2 1-59,text,true,274,98,98,2522
1443562815832,2666,Hello json,200,OK,Azure A2 1-73,text,true,270,99,99,2666
1443562815688,2837,Multiple DB update 500,200,OK,Azure A2 1-6,text,true,16152,99,99,2547
1443562815940,2588,Fortunes,200,OK,Azure A2 1-21,text,true,2491,99,99,2456
1443562815930,2615,Hello json,200,OK,Azure A2 1-74,text,true,270,99,99,2615
1443562815737,2976,Multiple DB update 500,200,OK,Azure A2 1-9,text,true,16141,101,101,2701
1443562815808,3039,Multiple DB update 500,200,OK,Azure A2 1-7,text,true,16121,102,102,2902
1443562816065,2830,Fortunes,200,OK,Azure A2 1-23,text,true,2491,103,103,2691
1443562816031,2872,Hello json,200,OK,Azure A2 1-75,text,true,270,103,103,2872
1443562815915,3115,Multiple DB 500,200,OK,Azure A2 1-33,text,true,16168,104,104,2944
1443562816251,2789,simple DB,200,OK,Azure A2 1-60,text,true,274,104,104,2789
1443562816253,2835,Multiple DB 5,200,OK,Azure A2 1-43,text,true,402,105,105,2835
1443562816136,2986,Hello json,200,OK,Azure A2 1-76,text,true,270,105,105,2986
1443562816311,2849,simple DB,200,OK,Azure A2 1-61,text,true,274,105,105,2849
1443562816250,2910,Fortunes,200,OK,Azure A2 1-24,text,true,2491,105,105,2780
1443562816338,2869,simple DB,200,OK,Azure A2 1-62,text,true,273,106,106,2869
1443562815938,3404,Multiple DB update 500,200,OK,Azure A2 1-5,text,true,16158,107,107,3091
1443562816065,3279,Multiple DB update 500,500,Internal Server Error,Azure A2 1-10,text,false,848,107,107,3279
1443562816362,3171,Multiple DB 5,200,OK,Azure A2 1-44,text,true,403,109,109,3171
1443562816385,3274,simple DB,200,OK,Azure A2 1-63,text,true,274,110,110,3274
1443562816116,3544,Multiple DB 500,200,OK,Azure A2 1-34,text,true,16143,110,110,3283
1443562816338,3330,Hello json,200,OK,Azure A2 1-78,text,true,270,110,110,3330
1443562816486,3213,simple DB,200,OK,Azure A2 1-64,text,true,274,111,111,3213
1443562816508,3202,Multiple DB 5,200,OK,Azure A2 1-45,text,true,404,111,111,3202
1443562816237,3424,Hello json,200,OK,Azure A2 1-77,text,true,270,110,110,3424
1443562816574,3180,Multiple DB 5,200,OK,Azure A2 1-47,text,true,403,111,111,3180
1443562816443,3337,Hello json,200,OK,Azure A2 1-79,text,true,270,111,111,3337
1443562815940,3849,Multiple DB update 500,200,OK,Azure A2 1-8,text,true,16144,111,111,3482
1443562816343,3446,Multiple DB 50,200,OK,Azure A2 1-39,text,true,1838,112,112,3317
1443562816616,3218,Multiple DB 5,200,OK,Azure A2 1-46,text,true,401,112,112,3218
1443562816639,3335,simple DB,200,OK,Azure A2 1-65,text,true,274,113,113,3335
1443562816593,3381,Fortunes,200,OK,Azure A2 1-25,text,true,2491,113,113,3221
1443562816551,3423,Fortunes,200,OK,Azure A2 1-26,text,true,2491,113,113,3206
1443562816226,3756,Multiple DB update 500,200,OK,Azure A2 1-15,text,true,16165,113,113,3496
1443562816664,3395,simple DB,200,OK,Azure A2 1-66,text,true,274,114,114,3395
1443562816343,3775,Multiple DB update 500,200,OK,Azure A2 1-12,text,true,16154,115,115,3644
1443562816663,3475,Multiple DB 5,200,OK,Azure A2 1-49,text,true,404,115,115,3475
1443562816635,3655,Multiple DB 5,200,OK,Azure A2 1-48,text,true,403,116,116,3655
1443562816547,3743,Hello json,200,OK,Azure A2 1-80,text,true,270,116,116,3743
1443562816796,3812,Multiple DB 50,200,OK,Azure A2 1-40,text,true,1837,120,120,3608
1443562816824,3784,simple DB,200,OK,Azure A2 1-67,text,true,274,120,120,3784
1443562816663,3945,Multiple DB update 500,500,Internal Server Error,Azure A2 1-18,text,false,848,120,120,3945
1443562816343,4265,Multiple DB update 500,200,OK,Azure A2 1-13,text,true,16135,120,120,3958
1443562816824,3788,Fortunes,200,OK,Azure A2 1-27,text,true,2491,120,120,3656
1443562816648,3964,Hello json,200,OK,Azure A2 1-81,text,true,270,120,120,3964
1443562816552,4188,Multiple DB update 500,200,OK,Azure A2 1-11,text,true,16149,121,121,3870
1443562816825,3975,simple DB,200,OK,Azure A2 1-68,text,true,274,121,121,3975
1443562816771,4153,Multiple DB 500,200,OK,Azure A2 1-35,text,true,16148,123,123,3970
1443562816846,4078,Multiple DB 5,200,OK,Azure A2 1-53,text,true,403,123,123,4078
